Poster Category	Easel Board	Poster Title	Student(s)	Faculty/Mentor	Mount ID	Side
Biology	B-1	The effects of CG3107 Overexpression on the Mitochondrial Activity of D. Melanogaster	Sophie Saleh, Molly McPhail	Jae Hur,   Associate Professor of Biology Harvey Mudd  PhD, Harvard University	B001	South
Biology	B-2	FHA and BDF4 Chromatin Interacting Proteins Contribute to African Trypanosome Life Cycle Gene Regulation	Malina DiBlasi, Sarah Liu	Danae Schulz, Associate Professor of Biology Harvey Mudd  PhD, University of California, Berkeley	B001	North
Biology	B-3	The role of dsrA and its promoter in Enterobacteriaceae cold stress response	Aum Pechkamnerd, Ella Joo	Dan Stoebel,   Professor of Biology   Chair, Department of Biology Harvey Mudd   PhD, Stony Brook University	B002	South
Biology	B-4	Optimum Leaf Sampling Practices For Accurate Critical Temperature Determination	Diego Pacheco	Dr. Luzia Aparacido, University of Utah	B002	North
Biology	B-5	Shifting Surfaces to Sand: Unexpected Muscle Recruitment While Walking	Fotini Mourelatos, Kateri Trujillo, Niclas Ulrich, Jacinto Howes, Matthew Jaimes-Morelos	Anna Ahn, Professor of Biology Harvey Mudd PhD, University of California, Berkeley, Jenna Monroy (Dept. Of Natural Sciences)	B003	South
Biology	B-6	Exploring Phytoplasma-Plant-Hemipteran Associations in Piedmont and Sicily (Italy)	Alessandra Ela	Dr. Valeria Trivellone, University of Illinois Urbana-Champaign	B003	North
Biology	B-7	Modeling Cortical Dysplasia: Analogue-Based Insights into Brain Development	Enzo Katzen	Sam Thapa, Stanford University	B004	South
Biology, Computer Science	BCS-1	Exploring Machine Learning for Histopathological Image Analysis in Breast Cancer	Lyra Cromwell	Mark Chapman, University of San Diego; Carsten Daub, Karolinska Institutet	B004	North
Biology, Computer Science	BCS-2	To Run or Not to Run: Harvester Ant Response to Invasive Argentine Ants	Pranay Gupta, Paul Kim, Sequoia Clark	Matina Donaldson-Matasci, Associate Professor of Biology, Harvey Mudd PhD, University of Washington		
Biology, Computer Science	BCS-3	Automated Alignment of Mouse Brain Scans to the Allen Brain Atlas	Ananya Purwar	Philip Cheung, Translucence Biosytems		
Biology, Hixon Center for Climate and the Environment	BHC-1	Investigating the physiological traits of Artemisia californica during a natural summer drought	Taylor Baugh, Aabhas Senapati	Jessica Guo, Assistant Professor of Climate and Biology Harvey Mudd		
Chemistry	C-1	Structure-activity relationships of dioxo molybdenum(VI) complexes for deoxydehydration	Nora Nickolov	O. Maduka Ogba, Assistant Professor of Chemistry Harvey Mudd PhD, Oregon State University	C001	North
Chemistry	C-2	Hybrid Polyoxometalate Zeolitic Imidazolate Framework (PZIF) Glasses for Redox Catalysis	Freja Johnson, Steven Zhang	Colm Healy, Assistant Professor of Chemistry Harvey Mudd PhD, Trinity College	C001	South
Chemistry	C-3	Two-step Synthesis of Acylated Pyrimidines through TCFH–NMI Coupling and Sulfenylnitrene Skeletal Editing	Nora O'Connor, Jiakang Chen, Tiffany Wu	David Vosburg, Donald A. Strauss Professor of Chemistry Harvey Mudd PhD, Scripps Research Institute	C002	North
Chemistry	C-4	Mild, One-pot Synthesis of Triazolodiazepines	Johnson Ho	David Vosburg, Donald A. Strauss Professor of Chemistry Harvey Mudd PhD, Scripps Research Institute	C002	South
Chemistry	C-5	Pyrrole Acylation/Cyclization Cascades​	Jiakang Chen, Tiffany Wu	David Vosburg, Donald A. Strauss Professor of Chemistry Harvey Mudd PhD, Scripps Research Institute	C003	North
